author,interactor,date,doc_nb,word_nb,char_nb,doc_ids
Stephen Gethins,NA,2018-12-03,1, 156,  917,uk.org.publicwhip/debate/2018-12-03b.610.1
Stephen Gethins,NA,2019-03-11,1, 208, 1271,uk.org.publicwhip/debate/2019-03-11c.80.1
Stephen Gethins,NA,2019-04-09,1, 491, 2702,uk.org.publicwhip/debate/2019-04-09c.244.1
Stephen Kerr,NA,2019-10-17,1, 683, 3900,uk.org.publicwhip/debate/2019-10-17c.541.0
Stephen Twigg,NA,2019-07-01,1, 292, 1758,uk.org.publicwhip/debate/2019-07-01c.957.4
Teresa Pearce,NA,2018-03-13,1,  59,  345,uk.org.publicwhip/debate/2018-03-13c.698.3
Therese Coffey,NA,2019-04-23,1,1394, 8553,uk.org.publicwhip/debate/2019-04-23a.721.0
Tobias Ellwood,NA,2019-10-14,1, 219, 1276,uk.org.publicwhip/debate/2019-10-14a.76.0
Tom Brake,NA,2019-05-21,1,  67,  398,uk.org.publicwhip/debate/2019-05-21a.604.1
Valerie Vaz,NA,2017-10-26,1,1311, 7430,uk.org.publicwhip/debate/2017-10-26b.457.0
Valerie Vaz,NA,2019-04-25,1,1018, 6100,uk.org.publicwhip/debate/2019-04-25c.909.2
Zac Goldsmith,NA,2017-09-12,1,  75,  468,uk.org.publicwhip/debate/2017-09-12a.632.3
Zac Goldsmith,NA,2018-01-30,1,1083, 6337,uk.org.publicwhip/debate/2018-01-30a.718.2
Zac Goldsmith,NA,2018-06-25,1, 346, 2070,uk.org.publicwhip/debate/2018-06-25d.691.0
Zac Goldsmith,NA,2019-05-01,1,  92,  591,uk.org.publicwhip/debate/2019-05-01c.232.2
