author,date,doc_nb,word_nb,char_nb,doc_ids
Callum McCaig,2016-03-14,1, 270, 1580,uk.org.publicwhip/debate/2016-03-14b.702.0
Carol Monaghan,2019-06-12,1,  52,  337,uk.org.publicwhip/debate/2019-06-12e.657.5
Caroline Lucas,2016-09-07,1, 105,  651,uk.org.publicwhip/debate/2016-09-07b.333.3
Cat Smith,2016-02-11,1,  20,  136,uk.org.publicwhip/debate/2016-02-11c.1727.7
Cheryl Gillan,2017-01-31,1, 845, 4867,uk.org.publicwhip/debate/2017-01-31c.845.1
Chi Onwurah,2019-02-12,1, 127,  744,uk.org.publicwhip/debate/2019-02-12c.721.5
Chris Matheson,2019-05-21,1, 369, 2328,uk.org.publicwhip/debate/2019-05-21a.650.1
Claire Perry,2019-04-23,1, 115,  631,uk.org.publicwhip/debate/2019-04-23a.614.3
Claire Perry,2019-10-30,1, 308, 1680,uk.org.publicwhip/debate/2019-10-30a.368.2
Daniel Zeichner,2019-05-21,1,  57,  340,uk.org.publicwhip/debate/2019-05-21a.605.3
Daniel Zeichner,2019-07-25,1,  34,  187,uk.org.publicwhip/debate/2019-07-25a.1427.7
Darren Jones,2018-11-12,1, 750, 4531,uk.org.publicwhip/debate/2018-11-12d.151.1
David Drew,2019-05-09,1,  73,  407,uk.org.publicwhip/debate/2019-05-09b.640.7
Derek Thomas,2019-10-17,1, 557, 3252,uk.org.publicwhip/debate/2019-10-17c.552.2
Douglas Chapman,2019-06-13,1,  65,  375,uk.org.publicwhip/debate/2019-06-13b.822.1
Edward Davey,2019-04-23,1, 185, 1064,uk.org.publicwhip/debate/2019-04-23a.682.2
Eleanor Laing,2017-02-08,1,4513,29826,uk.org.publicwhip/debate/2017-02-08b.434.1
Emily Thornberry,2016-11-22,1,  98,  538,uk.org.publicwhip/debate/2016-11-22b.734.5
George Kerevan,2016-03-08,1, 474, 2624,uk.org.publicwhip/debate/2016-03-08a.250.2
Graham Stuart,2016-01-18,1, 579, 3228,uk.org.publicwhip/debate/2016-01-18b.1178.0
Greg Clark,2016-11-08,1, 111,  690,uk.org.publicwhip/debate/2016-11-08c.1390.7
Greg Clark,2017-12-12,1,  50,  299,uk.org.publicwhip/debate/2017-12-12b.175.2
Greg Mulholland,2016-02-02,1, 764, 4568,uk.org.publicwhip/debate/2016-02-02a.861.0
Helen Hayes,2019-02-21,1,  66,  417,uk.org.publicwhip/debate/2019-02-21a.1588.7
Hilary Benn,2019-04-23,1,  82,  463,uk.org.publicwhip/debate/2019-04-23a.610.1
Ian Murray,2019-03-20,1,  78,  473,uk.org.publicwhip/debate/2019-03-20b.1057.0
Jeremy Corbyn,2019-05-01,1, 438, 2642,uk.org.publicwhip/debate/2019-05-01c.225.2
Jo Johnson,2017-12-12,1,  47,  246,uk.org.publicwhip/debate/2017-12-12b.169.11
Jo Johnson,2018-05-23,1, 208, 1224,uk.org.publicwhip/debate/2018-05-23c.896.3
John Bercow,2016-05-18,1, 974, 6463,uk.org.publicwhip/debate/2016-05-18a.3.0
Karin Smyth,2019-10-17,1, 475, 2882,uk.org.publicwhip/debate/2019-10-17c.545.0
Kerry McCarthy,2019-02-07,1,  43,  246,uk.org.publicwhip/debate/2019-02-07b.386.4
Kevin Hollinrake,2018-10-31,1,  27,  155,uk.org.publicwhip/debate/2018-10-31a.928.4
Kit Malthouse,2019-03-28,1, 565, 3714,uk.org.publicwhip/debate/2019-03-28b.662.1
Kwasi Kwarteng,2019-10-22,1,  74,  411,uk.org.publicwhip/debate/2019-10-22d.802.0
Margaret Greenwood,2016-09-07,1, 234, 1448,uk.org.publicwhip/debate/2016-09-07b.405.0
Margaret Ritchie,2016-01-07,1,  24,  159,uk.org.publicwhip/debate/2016-01-07b.417.3
Mary Creagh,2016-09-07,1, 441, 2601,uk.org.publicwhip/debate/2016-09-07b.412.0
Mary Creagh,2017-02-27,1, 148,  878,uk.org.publicwhip/debate/2017-02-27b.53.1
Mary Robinson,2019-06-26,1,  67,  383,uk.org.publicwhip/debate/2019-06-26a.659.4
Matt Western,2019-03-21,1, 132,  734,uk.org.publicwhip/debate/2019-03-21a.1252.3
Matthew Pennycook,2017-11-15,1,1001, 6147,uk.org.publicwhip/debate/2017-11-15c.494.4
Michael Ellis,2019-07-18,1, 148,  902,uk.org.publicwhip/debate/2019-07-18a.945.0
Michael Tomlinson,2017-11-07,1,  16,   94,uk.org.publicwhip/debate/2017-11-07c.1321.5
Neil Gray,2016-07-18,1, 520, 3110,uk.org.publicwhip/debate/2016-07-18c.645.0
Nicholas Soames,2018-11-22,1,  69,  429,uk.org.publicwhip/debate/2018-11-22b.1110.5
Nicholas Soames,2019-03-25,1, 281, 1667,uk.org.publicwhip/debate/2019-03-25c.92.1
Nigel Huddleston,2019-02-21,1,  53,  304,uk.org.publicwhip/debate/2019-02-21a.1593.1
Pat Glass,2016-03-09,1, 368, 2144,uk.org.publicwhip/debate/2016-03-09a.281.0
Patricia Gibson,2018-10-18,1, 768, 4561,uk.org.publicwhip/debate/2018-10-18b.833.2
Patricia Gibson,2019-05-01,1,  61,  349,uk.org.publicwhip/debate/2019-05-01c.251.0
Patrick Grady,2016-01-25,1, 534, 3246,uk.org.publicwhip/debate/2016-01-25c.112.1
Patrick Grady,2016-09-07,1, 258, 1583,uk.org.publicwhip/debate/2016-09-07b.419.1
Patrick Grady,2019-07-24,1,  59,  356,uk.org.publicwhip/debate/2019-07-24b.1362.2
Peter Aldous,2019-10-28,1, 367, 2233,uk.org.publicwhip/debate/2019-10-28b.124.3
Rachel Maclean,2019-07-17,1,  59,  337,uk.org.publicwhip/debate/2019-07-17a.816.2
Rachel Reeves,2016-01-06,1, 675, 3920,uk.org.publicwhip/debate/2016-01-06b.366.1
Rachel Reeves,2019-06-12,1, 186, 1021,uk.org.publicwhip/debate/2019-06-12e.670.0
Rebecca Pow,2019-03-18,1, 803, 4835,uk.org.publicwhip/debate/2019-03-18c.894.0
Richard Benyon,2017-02-01,1, 606, 3343,uk.org.publicwhip/debate/2017-02-01b.1005.253
Ruth Cadbury,2019-10-28,1, 596, 3497,uk.org.publicwhip/debate/2019-10-28b.114.1
Ruth George,2019-02-28,1,  92,  532,uk.org.publicwhip/debate/2019-02-28a.602.2
Stephen Doughty,2019-09-09,1, 415, 2435,uk.org.publicwhip/debate/2019-09-09c.549.4
Stephen Gethins,2018-12-03,1, 156,  917,uk.org.publicwhip/debate/2018-12-03b.610.1
Stephen Gethins,2019-03-11,1, 208, 1271,uk.org.publicwhip/debate/2019-03-11c.80.1
Stephen Gethins,2019-04-09,1, 491, 2702,uk.org.publicwhip/debate/2019-04-09c.244.1
Stephen Kerr,2019-10-17,1, 683, 3900,uk.org.publicwhip/debate/2019-10-17c.541.0
Stephen Twigg,2019-07-01,1, 292, 1758,uk.org.publicwhip/debate/2019-07-01c.957.4
Teresa Pearce,2018-03-13,1,  59,  345,uk.org.publicwhip/debate/2018-03-13c.698.3
Therese Coffey,2019-04-23,1,1394, 8553,uk.org.publicwhip/debate/2019-04-23a.721.0
Tobias Ellwood,2019-10-14,1, 219, 1276,uk.org.publicwhip/debate/2019-10-14a.76.0
Tom Brake,2019-05-21,1,  67,  398,uk.org.publicwhip/debate/2019-05-21a.604.1
Valerie Vaz,2017-10-26,1,1311, 7430,uk.org.publicwhip/debate/2017-10-26b.457.0
Valerie Vaz,2019-04-25,1,1018, 6100,uk.org.publicwhip/debate/2019-04-25c.909.2
Zac Goldsmith,2017-09-12,1,  75,  468,uk.org.publicwhip/debate/2017-09-12a.632.3
Zac Goldsmith,2018-01-30,1,1083, 6337,uk.org.publicwhip/debate/2018-01-30a.718.2
Zac Goldsmith,2018-06-25,1, 346, 2070,uk.org.publicwhip/debate/2018-06-25d.691.0
Zac Goldsmith,2019-05-01,1,  92,  591,uk.org.publicwhip/debate/2019-05-01c.232.2
