date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2017-02-27,2017-02-27,2017-02,2017,1, 148,  878,uk.org.publicwhip/debate/2017-02-27b.53.1
2017-06-27,2017-06-26,2017-06,2017,1, 143,  813,uk.org.publicwhip/debate/2017-06-27a.455.8
2017-09-12,2017-09-11,2017-09,2017,1,  75,  468,uk.org.publicwhip/debate/2017-09-12a.632.3
2017-10-26,2017-10-23,2017-10,2017,1,1311, 7430,uk.org.publicwhip/debate/2017-10-26b.457.0
2017-11-07,2017-11-06,2017-11,2017,1,  16,   94,uk.org.publicwhip/debate/2017-11-07c.1321.5
2017-11-15,2017-11-13,2017-11,2017,1,1001, 6147,uk.org.publicwhip/debate/2017-11-15c.494.4
2017-12-12,2017-12-11,2017-12,2017,2,  97,  545,uk.org.publicwhip/debate/2017-12-12b.175.2 uk.org.publicwhip/debate/2017-12-12b.169.11
2018-01-30,2018-01-29,2018-01,2018,1,1083, 6337,uk.org.publicwhip/debate/2018-01-30a.718.2
2018-03-06,2018-03-05,2018-03,2018,1, 853, 4855,uk.org.publicwhip/debate/2018-03-06b.252.2
2018-03-13,2018-03-12,2018-03,2018,1,  59,  345,uk.org.publicwhip/debate/2018-03-13c.698.3
2018-05-23,2018-05-21,2018-05,2018,1, 208, 1224,uk.org.publicwhip/debate/2018-05-23c.896.3
2018-06-25,2018-06-25,2018-06,2018,1, 346, 2070,uk.org.publicwhip/debate/2018-06-25d.691.0
2018-10-18,2018-10-15,2018-10,2018,1, 768, 4561,uk.org.publicwhip/debate/2018-10-18b.833.2
2018-10-31,2018-10-29,2018-10,2018,1,  27,  155,uk.org.publicwhip/debate/2018-10-31a.928.4
2018-11-12,2018-11-12,2018-11,2018,1, 750, 4531,uk.org.publicwhip/debate/2018-11-12d.151.1
2018-11-22,2018-11-19,2018-11,2018,1,  69,  429,uk.org.publicwhip/debate/2018-11-22b.1110.5
2018-12-03,2018-12-03,2018-12,2018,1, 156,  917,uk.org.publicwhip/debate/2018-12-03b.610.1
2019-02-07,2019-02-04,2019-02,2019,1,  43,  246,uk.org.publicwhip/debate/2019-02-07b.386.4
2019-02-12,2019-02-11,2019-02,2019,1, 127,  744,uk.org.publicwhip/debate/2019-02-12c.721.5
2019-02-21,2019-02-18,2019-02,2019,2, 119,  721,uk.org.publicwhip/debate/2019-02-21a.1588.7 uk.org.publicwhip/debate/2019-02-21a.1593.1
2019-02-28,2019-02-25,2019-02,2019,1,  92,  532,uk.org.publicwhip/debate/2019-02-28a.602.2
2019-03-11,2019-03-11,2019-03,2019,1, 208, 1271,uk.org.publicwhip/debate/2019-03-11c.80.1
2019-03-18,2019-03-18,2019-03,2019,1, 803, 4835,uk.org.publicwhip/debate/2019-03-18c.894.0
2019-03-20,2019-03-18,2019-03,2019,1,  78,  473,uk.org.publicwhip/debate/2019-03-20b.1057.0
2019-03-21,2019-03-18,2019-03,2019,1, 132,  734,uk.org.publicwhip/debate/2019-03-21a.1252.3
2019-03-25,2019-03-25,2019-03,2019,1, 281, 1667,uk.org.publicwhip/debate/2019-03-25c.92.1
2019-03-28,2019-03-25,2019-03,2019,1, 565, 3714,uk.org.publicwhip/debate/2019-03-28b.662.1
2019-04-09,2019-04-08,2019-04,2019,1, 491, 2702,uk.org.publicwhip/debate/2019-04-09c.244.1
2019-04-23,2019-04-22,2019-04,2019,5,2684,16064,uk.org.publicwhip/debate/2019-04-23a.674.0 uk.org.publicwhip/debate/2019-04-23a.614.3 uk.org.publicwhip/debate/2019-04-23a.682.2 uk.org.publicwhip/debate/2019-04-23a.610.1 uk.org.publicwhip/debate/2019-04-23a.721.0
2019-04-24,2019-04-22,2019-04,2019,1,  59,  345,uk.org.publicwhip/debate/2019-04-24b.734.0
2019-04-25,2019-04-22,2019-04,2019,1,1018, 6100,uk.org.publicwhip/debate/2019-04-25c.909.2
2019-04-30,2019-04-29,2019-04,2019,1,1645, 9910,uk.org.publicwhip/debate/2019-04-30a.148.1
2019-05-01,2019-04-29,2019-05,2019,3, 591, 3582,uk.org.publicwhip/debate/2019-05-01c.251.0 uk.org.publicwhip/debate/2019-05-01c.225.2 uk.org.publicwhip/debate/2019-05-01c.232.2
2019-05-09,2019-05-06,2019-05,2019,1,  73,  407,uk.org.publicwhip/debate/2019-05-09b.640.7
2019-05-21,2019-05-20,2019-05,2019,3, 493, 3066,uk.org.publicwhip/debate/2019-05-21a.605.3 uk.org.publicwhip/debate/2019-05-21a.604.1 uk.org.publicwhip/debate/2019-05-21a.650.1
2019-06-10,2019-06-10,2019-06,2019,1,  90,  525,uk.org.publicwhip/debate/2019-06-10b.442.2
2019-06-12,2019-06-10,2019-06,2019,2, 238, 1358,uk.org.publicwhip/debate/2019-06-12e.657.5 uk.org.publicwhip/debate/2019-06-12e.670.0
2019-06-13,2019-06-10,2019-06,2019,1,  65,  375,uk.org.publicwhip/debate/2019-06-13b.822.1
2019-06-26,2019-06-24,2019-06,2019,1,  67,  383,uk.org.publicwhip/debate/2019-06-26a.659.4
2019-07-01,2019-07-01,2019-07,2019,2, 370, 2219,uk.org.publicwhip/debate/2019-07-01c.961.2 uk.org.publicwhip/debate/2019-07-01c.957.4
2019-07-04,2019-07-01,2019-07,2019,1,1094, 6628,uk.org.publicwhip/debate/2019-07-04b.1409.1
2019-07-17,2019-07-15,2019-07,2019,1,  59,  337,uk.org.publicwhip/debate/2019-07-17a.816.2
2019-07-18,2019-07-15,2019-07,2019,1, 148,  902,uk.org.publicwhip/debate/2019-07-18a.945.0
2019-07-24,2019-07-22,2019-07,2019,1,  59,  356,uk.org.publicwhip/debate/2019-07-24b.1362.2
2019-07-25,2019-07-22,2019-07,2019,1,  34,  187,uk.org.publicwhip/debate/2019-07-25a.1427.7
2019-09-03,2019-09-02,2019-09,2019,1,  26,  141,uk.org.publicwhip/debate/2019-09-03b.34.3
2019-09-09,2019-09-09,2019-09,2019,1, 415, 2435,uk.org.publicwhip/debate/2019-09-09c.549.4
2019-09-26,2019-09-23,2019-09,2019,1,  78,  447,uk.org.publicwhip/debate/2019-09-26c.913.0
2019-10-14,2019-10-14,2019-10,2019,2,1308, 7587,uk.org.publicwhip/debate/2019-10-14a.49.1 uk.org.publicwhip/debate/2019-10-14a.76.0
2019-10-17,2019-10-14,2019-10,2019,4,2316,13577,uk.org.publicwhip/debate/2019-10-17c.541.0 uk.org.publicwhip/debate/2019-10-17c.545.0 uk.org.publicwhip/debate/2019-10-17c.552.2 uk.org.publicwhip/debate/2019-10-17c.534.0
2019-10-22,2019-10-21,2019-10,2019,1,  74,  411,uk.org.publicwhip/debate/2019-10-22d.802.0
2019-10-28,2019-10-28,2019-10,2019,2, 963, 5730,uk.org.publicwhip/debate/2019-10-28b.114.1 uk.org.publicwhip/debate/2019-10-28b.124.3
2019-10-30,2019-10-28,2019-10,2019,2, 446, 2462,uk.org.publicwhip/debate/2019-10-30a.368.3 uk.org.publicwhip/debate/2019-10-30a.368.2
